Wavelength	Transit Depth
#(meters)	(percent)
3.649012e-07	6.028489e-01
3.652655e-07	6.027732e-01
3.656303e-07	6.026975e-01
3.659954e-07	6.026218e-01
3.663608e-07	6.025462e-01
3.667267e-07	6.024705e-01
3.670928e-07	6.023949e-01
3.674594e-07	6.023191e-01
3.678263e-07	6.022435e-01
3.681936e-07	6.021679e-01
3.685613e-07	6.020922e-01
3.689293e-07	6.020166e-01
3.692977e-07	6.019410e-01
3.696664e-07	6.018653e-01
3.700356e-07	6.017897e-01
3.704051e-07	6.017140e-01
3.707749e-07	6.016384e-01
3.711452e-07	6.015629e-01
3.715158e-07	6.014874e-01
3.718867e-07	6.014123e-01
3.722581e-07	6.013364e-01
3.726298e-07	6.012604e-01
3.730019e-07	6.011850e-01
3.733743e-07	6.011093e-01
3.737472e-07	6.010337e-01
3.741204e-07	6.009586e-01
3.744939e-07	6.008830e-01
3.748679e-07	6.008086e-01
3.752422e-07	6.007315e-01
3.756169e-07	6.006564e-01
3.759920e-07	6.005803e-01
3.763674e-07	6.005048e-01
3.767432e-07	6.004297e-01
3.771194e-07	6.003583e-01
3.774960e-07	6.002782e-01
3.778729e-07	6.002027e-01
3.782502e-07	6.001274e-01
3.786279e-07	6.000517e-01
3.790060e-07	5.999762e-01
3.793845e-07	5.999006e-01
3.797633e-07	5.998260e-01
3.801425e-07	5.997498e-01
3.805221e-07	5.996742e-01
3.809020e-07	5.995991e-01
3.812824e-07	5.995233e-01
3.816631e-07	5.994495e-01
3.820442e-07	5.993740e-01
3.824257e-07	5.992969e-01
3.828076e-07	5.992214e-01
3.831898e-07	5.991460e-01
3.835724e-07	5.990708e-01
3.839555e-07	5.989950e-01
3.843389e-07	5.989200e-01
3.847226e-07	5.988446e-01
3.851068e-07	5.987687e-01
3.854913e-07	5.986933e-01
3.858763e-07	5.986179e-01
3.862616e-07	5.985425e-01
3.866473e-07	5.984674e-01
3.870333e-07	5.983918e-01
3.874198e-07	5.983165e-01
3.878067e-07	5.982413e-01
3.881939e-07	5.981656e-01
3.885815e-07	5.980924e-01
3.889695e-07	5.980154e-01
3.893579e-07	5.979397e-01
3.897467e-07	5.978650e-01
3.901359e-07	5.977891e-01
3.905255e-07	5.977148e-01
3.909154e-07	5.976403e-01
3.913058e-07	5.975634e-01
3.916965e-07	5.974885e-01
3.920876e-07	5.974128e-01
3.924791e-07	5.973383e-01
3.928711e-07	5.972631e-01
3.932633e-07	5.971871e-01
3.936560e-07	5.971132e-01
3.940491e-07	5.970393e-01
3.944426e-07	5.969619e-01
3.948365e-07	5.968877e-01
3.952307e-07	5.968172e-01
3.956254e-07	5.967405e-01
3.960204e-07	5.966668e-01
3.964159e-07	5.965858e-01
3.968117e-07	5.965110e-01
3.972079e-07	5.964374e-01
3.976045e-07	5.963613e-01
3.980016e-07	5.962865e-01
3.983990e-07	5.962130e-01
3.987968e-07	5.961372e-01
3.991950e-07	5.960638e-01
3.995936e-07	5.959884e-01
3.999926e-07	5.959149e-01
4.003920e-07	5.958436e-01
4.007919e-07	5.957686e-01
4.011921e-07	5.956973e-01
4.015927e-07	5.956268e-01
4.019937e-07	5.955603e-01
4.023951e-07	5.954999e-01
4.027969e-07	5.954449e-01
4.031991e-07	5.954176e-01
4.036017e-07	5.954757e-01
4.040047e-07	5.960866e-01
