,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
273,0.999970901204,-0.100530274358,4.65462314775e-05,-0.100530274358,1.0,-6.988350495e-05
540,0.999970784598,-0.100248656445,4.65462314775e-05,-0.100248656445,1.0,8.23510342268e-05
21,0.999995351757,-0.100049334068,4.65462314775e-05,-0.100049334068,1.0,-8.47639781354e-06
803,1.0000098302,-0.0999187468688,4.65462314775e-05,-0.0999187468688,1.0,1.07128096463e-05
293,0.999985535152,-0.0996356734694,4.65462314775e-05,-0.0996356734694,1.0,-1.45233686943e-05
559,1.00002543568,-0.0993570816959,4.65462314775e-05,-0.0993570816959,1.0,-2.85755768681e-06
41,1.00002035362,-0.0991392558567,4.65462314775e-05,-0.0991392558567,1.0,5.28454577187e-06
822,1.0000044563,-0.0990166151258,4.65462314775e-05,-0.0990166151258,1.0,-1.88595278597e-05
312,1.00002223256,-0.098741888231,4.65462314775e-05,-0.098741888231,1.0,1.26091673376e-05
577,1.00006699271,-0.0984651867518,4.65462314775e-05,-0.0984651867518,1.0,2.14219193804e-05
60,1.00000571543,-0.0982307388418,4.65462314775e-05,-0.0982307388418,1.0,-2.31312180271e-05
841,1.0000123186,-0.0981131247079,4.65462314775e-05,-0.0981131247079,1.0,-2.01045227479e-05
331,0.999981200321,-0.0978486059582,4.65462314775e-05,-0.0978486059582,1.0,2.50572626777e-05
596,0.999989251728,-0.0975729613191,4.65462314775e-05,-0.0975729613191,1.0,3.08432359852e-06
79,0.999976868782,-0.0973238347666,4.65462314775e-05,-0.0973238347666,1.0,-1.62276765661e-05
350,1.00000405868,-0.0969558731088,4.65462314775e-05,-0.0969558731088,1.0,-3.76919538081e-06
612,1.00000281987,-0.0966802159511,4.65462314775e-05,-0.0966802159511,1.0,9.84493417178e-06
97,0.999951421237,-0.0964183561319,4.65462314775e-05,-0.0964183561319,1.0,2.0261595904e-05
368,0.99996614218,-0.0960636752168,4.65462314775e-05,-0.0960636752168,1.0,-7.53640993689e-06
627,0.999964602723,-0.0957869417459,4.65462314775e-05,-0.0957869417459,1.0,6.94680187123e-05
116,1.00000256584,-0.0955143527335,4.65462314775e-05,-0.0955143527335,1.0,-4.53240791787e-07
388,1.00000130726,-0.0951718790297,4.65462314775e-05,-0.0951718790297,1.0,1.10294827227e-05
647,0.999962979417,-0.0948930699907,4.65462314775e-05,-0.0948930699907,1.0,-3.90650183187e-05
136,1.00002201545,-0.0946116351245,4.65462314775e-05,-0.0946116351245,1.0,2.16788166962e-05
408,1.00000530103,-0.0942803518514,4.65462314775e-05,-0.0942803518514,1.0,1.35291943875e-05
667,1.0000066605,-0.0939985928962,4.65462314775e-05,-0.0939985928962,1.0,-3.823396173e-05
156,0.999986427854,-0.0937102525446,4.65462314775e-05,-0.0937102525446,1.0,2.27628282512e-05
428,0.99999278416,-0.0933890797724,4.65462314775e-05,-0.0933890797724,1.0,1.46708550997e-05
686,0.999979466386,-0.0931032642653,4.65462314775e-05,-0.0931032642653,1.0,-4.8578763102e-05
176,0.999958453459,-0.0928100138779,4.65462314775e-05,-0.0928100138779,1.0,3.33066924072e-05
448,0.999950112297,-0.0924979893508,4.65462314775e-05,-0.0924979893508,1.0,-8.08337187452e-06
706,0.999992104473,-0.0922071970425,4.65462314775e-05,-0.0922071970425,1.0,1.51282616656e-07
196,1.00002820455,-0.0919109079967,4.65462314775e-05,-0.0919109079967,1.0,-1.86375834054e-05
726,0.999963165897,-0.0913103255754,4.65462314775e-05,-0.0913103255754,1.0,6.77467671784e-06
216,0.999988146195,-0.0910126828619,4.65462314775e-05,-0.0910126828619,1.0,3.23713646219e-05
487,1.0000036629,-0.0907160636069,4.65462314775e-05,-0.0907160636069,1.0,-6.18957177402e-05
745,1.00000462836,-0.0904124214707,4.65462314775e-05,-0.0904124214707,1.0,-7.4820409603e-05
234,1.00000759729,-0.0901156250081,4.65462314775e-05,-0.0901156250081,1.0,-5.14014298735e-05
504,1.00007059327,-0.0898250827918,4.65462314775e-05,-0.0898250827918,1.0,-1.67508176733e-05
765,1.00001939641,-0.0895135687415,4.65462314775e-05,-0.0895135687415,1.0,-4.10340243251e-06
254,0.99995420123,-0.089219482118,4.65462314775e-05,-0.089219482118,1.0,2.00434578868e-06
522,1.00006312602,-0.0889339943175,4.65462314775e-05,-0.0889339943175,1.0,-5.38551077323e-06
2,1.00001685265,-0.0887549099125,4.65462314775e-05,-0.0887549099125,1.0,-7.19689741258e-06
785,0.999922530201,-0.0886137198175,4.65462314775e-05,-0.0886137198175,1.0,-1.08032382571e-05
274,1.00005464785,-0.0883242411165,4.65462314775e-05,-0.0883242411165,1.0,1.89421107357e-05
541,1.00004055831,-0.0880426070682,4.65462314775e-05,-0.0880426070682,1.0,-2.2941878975e-05
22,1.00002295998,-0.0878431049818,4.65462314775e-05,-0.0878431049818,1.0,7.78914000077e-06
804,0.999995540821,-0.0877126335089,4.65462314775e-05,-0.0877126335089,1.0,2.56583787683e-06
294,0.99999798308,-0.0874297086625,4.65462314775e-05,-0.0874297086625,1.0,-4.27707574064e-05
560,1.00001394601,-0.0871510887919,4.65462314775e-05,-0.0871510887919,1.0,8.6983265013e-07
42,0.999994382369,-0.0869329872674,4.65462314775e-05,-0.0869329872674,1.0,-2.12635474205e-05
823,0.999997889295,-0.0868104272113,4.65462314775e-05,-0.0868104272113,1.0,-8.23822395113e-06
313,0.999968840757,-0.0865358121484,4.65462314775e-05,-0.0865358121484,1.0,7.50009428629e-06
578,1.00001587415,-0.0862592492074,4.65462314775e-05,-0.0862592492074,1.0,3.14292429743e-05
61,0.999997259222,-0.0860245492581,4.65462314775e-05,-0.0860245492581,1.0,3.44677986077e-05
842,0.999977637527,-0.0859069810255,4.65462314775e-05,-0.0859069810255,1.0,5.66090989735e-05
332,1.00001293618,-0.0856425969193,4.65462314775e-05,-0.0856425969193,1.0,-3.72766465085e-05
597,1.00001306721,-0.085366899146,4.65462314775e-05,-0.085366899146,1.0,-3.80351893305e-05
80,0.999979895477,-0.0851176638217,4.65462314775e-05,-0.0851176638217,1.0,-8.10110936933e-06
351,0.999962954473,-0.0847498699118,4.65462314775e-05,-0.0847498699118,1.0,2.20641921489e-06
613,0.999990296458,-0.0844742074685,4.65462314775e-05,-0.0844742074685,1.0,-7.89921463706e-06
98,1.00003330669,-0.0842122027129,4.65462314775e-05,-0.0842122027129,1.0,-6.89563248168e-06
369,1.00001344914,-0.083857737116,4.65462314775e-05,-0.083857737116,1.0,1.68136396472e-06
628,1.00002665815,-0.0835808664979,4.65462314775e-05,-0.0835808664979,1.0,1.86889668012e-05
117,0.999957229243,-0.0833082160057,4.65462314775e-05,-0.0833082160057,1.0,-1.76261643715e-05
389,1.00000930786,-0.0829658263151,4.65462314775e-05,-0.0829658263151,1.0,3.06611033574e-05
648,1.00004378849,-0.0826870467641,4.65462314775e-05,-0.0826870467641,1.0,-2.99934609387e-05
137,0.99998142617,-0.0824055145318,4.65462314775e-05,-0.0824055145318,1.0,2.20154524067e-05
409,0.999999586783,-0.0820743622857,4.65462314775e-05,-0.0820743622857,1.0,-1.85738304534e-05
668,0.999995882618,-0.0817925015133,4.65462314775e-05,-0.0817925015133,1.0,7.408640472e-06
157,1.00001395672,-0.0815040874417,4.65462314775e-05,-0.0815040874417,1.0,-1.19936682441e-05
429,1.00001379611,-0.0811830927104,4.65462314775e-05,-0.0811830927104,1.0,-1.55680396448e-05
687,1.00002697345,-0.0808972830452,4.65462314775e-05,-0.0808972830452,1.0,1.52846154853e-05
177,1.0000221806,-0.0806038632407,4.65462314775e-05,-0.0806038632407,1.0,-4.55685575705e-05
449,1.00004254133,-0.0802920042361,4.65462314775e-05,-0.0802920042361,1.0,-3.03958754604e-05
707,0.999969962097,-0.080001145997,4.65462314775e-05,-0.080001145997,1.0,6.91419117225e-05
197,0.999940391486,-0.0797048900557,4.65462314775e-05,-0.0797048900557,1.0,1.33895763589e-05
468,1.00001569905,-0.0794010239773,4.65462314775e-05,-0.0794010239773,1.0,-5.72547397345e-05
727,0.999990296828,-0.0791042038699,4.65462314775e-05,-0.0791042038699,1.0,-2.17411933889e-05
217,1.00004270934,-0.0788066179069,4.65462314775e-05,-0.0788066179069,1.0,1.38976777697e-05
488,1.0000454915,-0.0785100793267,4.65462314775e-05,-0.0785100793267,1.0,8.18703344097e-06
746,0.999983853607,-0.0782064074243,4.65462314775e-05,-0.0782064074243,1.0,-1.40737928084e-05
235,0.999983808122,-0.0779096309914,4.65462314775e-05,-0.0779096309914,1.0,-1.38129018844e-05
