,scaled_error_ground,scaled_flux_ground,time_ground,xmodel_ground,ymodel_ground,yresidual_ground
27,0.00175964566146,0.998249263506,2457931.83999,2457931.83999,1.0,-0.00175073649384
28,0.00176364348637,1.0002582281,2457931.84037,2457931.84037,1.0,0.000258228095177
29,0.00175858107851,0.995621887209,2457931.84074,2457931.84074,1.0,-0.00437811279113
30,0.00176265258372,0.998029150864,2457931.84112,2457931.84112,1.0,-0.00197084913577
31,0.00175459144858,0.998909601432,2457931.8415,2457931.8415,1.0,-0.00109039856806
32,0.00176177696204,1.00221478491,2457931.84187,2457931.84187,1.0,0.00221478491231
33,0.00175071184702,1.00095350454,2457931.84225,2457931.84225,1.0,0.00095350453555
34,0.0017396667912,0.995038414015,2457931.84263,2457931.84263,1.0,-0.00496158598481
35,0.00172981306805,0.997351343681,2457931.84338,2457931.84338,1.0,-0.00264865631885
36,0.00172917847828,1.00070544108,2457931.84414,2457931.84414,1.0,0.00070544108195
37,0.00172432301108,0.999559457803,2457931.84452,2457931.84452,1.0,-0.000440542196656
38,0.00171642806197,0.99675040123,2457931.84489,2457931.84489,1.0,-0.00324959876982
39,0.00171773120821,1.00107229549,2457931.84527,2457931.84527,1.0,0.00107229548516
40,0.00171906443119,1.00303584001,2457931.84565,2457931.84565,1.0,0.00303584000521
41,0.00171735480073,0.99718014496,2457931.84602,2457931.84602,1.0,-0.00281985504035
42,0.00171873922106,1.0017046826,2457931.8464,2457931.8464,1.0,0.00170468259927
43,0.00171707624519,1.00168721334,2457931.84678,2457931.84678,1.0,0.00168721334197
44,0.00171851512599,0.999811015108,2457931.84716,2457931.84716,1.0,-0.000188984891596
45,0.001716896724,1.0011142217,2457931.84753,2457931.84753,1.0,0.00111422170267
46,0.00171838602998,1.00148806381,2457931.84791,2457931.84791,1.0,0.0014880638088
47,0.00171371835415,0.999105257114,2457931.84829,2457931.84829,1.0,-0.000894742886347
48,0.00170906560516,0.997976743092,2457931.84866,2457931.84866,1.0,-0.00202325690766
49,0.00170752310427,0.998748884265,2457931.84904,2457931.84904,1.0,-0.00125111573518
50,0.00170599790265,1.00464650553,2457931.84942,2457931.84942,1.0,0.00464650552789
51,0.00169059082765,0.999856435177,2457931.85018,2457931.85018,1.0,-0.000143564822626
52,0.0016953133514,1.00214490788,2457931.85055,2457931.85055,1.0,0.00214490788312
53,0.00170318332746,1.00341666981,2457931.85093,2457931.85093,1.0,0.00341666981426
54,0.00170175344785,1.0006180948,2457931.85131,2457931.85131,1.0,0.000618094795471
55,0.00170204823188,1.0000416093,2457931.85207,2457931.85207,1.0,4.16093047089e-05
56,0.00169797375859,0.999737644228,2457931.8532,2457931.8532,1.0,-0.000262355772238
57,0.0016903804946,0.996806302854,2457931.85358,2457931.85358,1.0,-0.00319369714648
58,0.00169219766212,0.995772122822,2457931.85395,2457931.85395,1.0,-0.00422787717839
59,0.0016971708526,0.99936030827,2457931.85433,2457931.85433,1.0,-0.000639691729828
60,0.00170217477404,1.00213093248,2457931.85471,2457931.85471,1.0,0.00213093247729
61,0.00169216013418,0.997257009692,2457931.85584,2457931.85584,1.0,-0.00274299030824
62,0.00170039314828,0.999101763262,2457931.85622,2457931.85622,1.0,-0.000898236737806
63,0.00168974233555,1.00298692608,2457931.85659,2457931.85659,1.0,0.00298692608478
64,0.00168225182346,0.998441425336,2457931.85697,2457931.85697,1.0,-0.00155857466359
65,0.00168422686408,1.00123301265,2457931.85735,2457931.85735,1.0,0.00123301265228
66,0.00167991160645,1.0003875006,2457931.85772,2457931.85772,1.0,0.000387500599166
