,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
705,1.0000275954218887,-0.10441979643138666,4.597954362696999e-05,-0.10441979643138666,1.0,2.7595421888682026e-05
195,1.000009604213333,-0.104126084376162,4.597954362696999e-05,-0.104126084376162,1.0,9.604213333069822e-06
467,0.9999813082345805,-0.10382073760462163,4.597954362696999e-05,-0.10382073760462163,1.0,-1.8691765419465156e-05
725,1.0000025584368744,-0.1035227795335345,4.597954362696999e-05,-0.1035227795335345,1.0,2.5584368743558628e-06
215,0.9999947929445039,-0.10322780978572155,4.597954362696999e-05,-0.10322780978572155,1.0,-5.207055496114776e-06
486,0.9998887873863432,-0.10292969592876489,4.597954362696999e-05,-0.10292969592876489,1.0,-0.00011121261365676371
744,0.99998789832534,-0.10262479008684977,4.597954362696999e-05,-0.10262479008684977,1.0,-1.2101674660036643e-05
233,1.0000092290505433,-0.10233064350035193,4.597954362696999e-05,-0.10233064350035193,1.0,9.229050543346773e-06
503,0.9999941828347163,-0.10203855994689093,4.597954362696999e-05,-0.10203855994689093,1.0,-5.817165283694692e-06
764,0.999981827337493,-0.1017258534064922,4.597954362696999e-05,-0.1017258534064922,1.0,-1.81726625070322e-05
253,0.9999857297377838,-0.10143439301322132,4.597954362696999e-05,-0.10143439301322132,1.0,-1.4270262216231622e-05
521,0.999972249457089,-0.10114737639463556,4.597954362696999e-05,-0.10114737639463556,1.0,-2.775054291104251e-05
1,0.9999878753530695,-0.10097122451719542,4.597954362696999e-05,-0.10097122451719542,1.0,-1.2124646930455896e-05
784,1.0000608094031747,-0.10082586099883883,4.597954362696999e-05,-0.10082586099883883,1.0,6.080940317465533e-05
273,0.9999713252206014,-0.10053898543890227,4.597954362696999e-05,-0.10053898543890227,1.0,-2.867477939860752e-05
540,0.9999712085494911,-0.10025601424507613,4.597954362696999e-05,-0.10025601424507613,1.0,-2.8791450508935945e-05
21,0.9999957759262584,-0.10005930197320367,4.597954362696999e-05,-0.10005930197320367,1.0,-4.224073741565526e-06
803,1.0000102540923845,-0.09992475194042072,4.597954362696999e-05,-0.09992475194042072,1.0,1.0254092384531788e-05
293,0.9999859587905631,-0.09964428835928629,4.597954362696999e-05,-0.09964428835928629,1.0,-1.4041209436932434e-05
559,1.0000258596381955,-0.09936434302750285,4.597954362696999e-05,-0.09936434302750285,1.0,2.585963819545789e-05
41,1.0000207772561813,-0.0991491270127085,4.597954362696999e-05,-0.0991491270127085,1.0,2.0777256181325754e-05
822,1.000004880220664,-0.09902252317124294,4.597954362696999e-05,-0.09902252317124294,1.0,4.88022066402749e-06
312,1.0000226565694854,-0.09875040581715666,4.597954362696999e-05,-0.09875040581715666,1.0,2.265656948541306e-05
577,1.0000674167130514,-0.09847235105797836,4.597954362696999e-05,-0.09847235105797836,1.0,6.741671305143804e-05
60,1.0000061391987374,-0.09824051352723018,4.597954362696999e-05,-0.09824051352723018,1.0,6.139198737376006e-06
841,1.0000127425521876,-0.09811893600499388,4.597954362696999e-05,-0.09811893600499388,1.0,1.2742552187638978e-05
331,0.9999816240090212,-0.09785702707534938,4.597954362696999e-05,-0.09785702707534938,1.0,-1.8375990978758416e-05
596,0.9999896754672482,-0.09758002915623365,4.597954362696999e-05,-0.09758002915623365,1.0,-1.0324532751848636e-05
79,0.9999772926895542,-0.09733351242527988,4.597954362696999e-05,-0.09733351242527988,1.0,-2.2707310445846396e-05
350,1.0000044825695178,-0.09696419747865548,4.597954362696999e-05,-0.09696419747865548,1.0,4.482569517794133e-06
612,1.0000032437575903,-0.09668718704108414,4.597954362696999e-05,-0.09668718704108414,1.0,3.243757590309926e-06
97,0.9999518450760013,-0.09642793704210817,4.597954362696999e-05,-0.09642793704210817,1.0,-4.815492399867782e-05
368,0.9999665662684213,-0.0960719028394692,4.597954362696999e-05,-0.0960719028394692,1.0,-3.3433731578713655e-05
627,0.9999650266165048,-0.09579381608853055,4.597954362696999e-05,-0.09579381608853055,1.0,-3.497338349522927e-05
116,1.0000029900057115,-0.09552383717351631,4.597954362696999e-05,-0.09552383717351631,1.0,2.9900057114673473e-06
388,1.0000017311580642,-0.09518000990527753,4.597954362696999e-05,-0.09518000990527753,1.0,1.7311580642331847e-06
647,0.9999634030045348,-0.09489984786421246,4.597954362696999e-05,-0.09489984786421246,1.0,-3.6596995465210114e-05
136,1.0000224393781785,-0.09462102226001434,4.597954362696999e-05,-0.09462102226001434,1.0,2.2439378178473746e-05
408,1.0000057248790226,-0.0942883857015886,4.597954362696999e-05,-0.0942883857015886,1.0,5.724879022617202e-06
667,1.0000070844435824,-0.09400527374418743,4.597954362696999e-05,-0.09400527374418743,1.0,7.084443582439093e-06
156,0.9999868521358064,-0.09371954321022713,4.597954362696999e-05,-0.09371954321022713,1.0,-1.3147864193596703e-05
428,0.9999932080833742,-0.0933970171536771,4.597954362696999e-05,-0.0933970171536771,1.0,-6.791916625781269e-06
686,0.9999798903380948,-0.09310984836571379,4.597954362696999e-05,-0.09310984836571379,1.0,-2.0109661905243215e-05
176,0.9999588773785992,-0.09281920779551456,4.597954362696999e-05,-0.09281920779551456,1.0,-4.112262140076872e-05
448,0.9999505362481352,-0.09250582998498658,4.597954362696999e-05,-0.09250582998498658,1.0,-4.946375186476448e-05
706,0.9999925286304805,-0.09221368439540356,4.597954362696999e-05,-0.09221368439540356,1.0,-7.4713695195072205e-06
196,1.000028628750213,-0.09192000516645749,4.597954362696999e-05,-0.09192000516645749,1.0,2.8628750212922327e-05
726,0.9999635900031953,-0.0913167161805859,4.597954362696999e-05,-0.0913167161805859,1.0,-3.6409996804653844e-05
216,0.9999885696538814,-0.09102168328388416,4.597954362696999e-05,-0.09102168328388416,1.0,-1.1430346118612711e-05
487,1.000004086719244,-0.09072371074699959,4.597954362696999e-05,-0.09072371074699959,1.0,4.086719243900916e-06
745,1.0000050521884223,-0.09041871560634718,4.597954362696999e-05,-0.09041871560634718,1.0,5.052188422283166e-06
234,1.0000080210596298,-0.09012452868245191,4.597954362696999e-05,-0.09012452868245191,1.0,8.0210596298258e-06
504,1.0000710174123795,-0.08983263318475565,4.597954362696999e-05,-0.08983263318475565,1.0,7.101741237947046e-05
765,1.000019820467705,-0.08951976585115062,4.597954362696999e-05,-0.08951976585115062,1.0,1.9820467705100597e-05
254,0.9999546251729231,-0.08922828876654876,4.597954362696999e-05,-0.08922828876654876,1.0,-4.537482707689389e-05
522,1.0000635497033221,-0.08894144768521528,4.597954362696999e-05,-0.08894144768521528,1.0,6.354970332211884e-05
2,1.0000172768779974,-0.08876497310848208,4.597954362696999e-05,-0.08876497310848208,1.0,1.7276877997352003e-05
785,0.9999229542523402,-0.08861982017924674,4.597954362696999e-05,-0.08861982017924674,1.0,-7.704574765976524e-05
274,1.0000550721028991,-0.0883329512957971,4.597954362696999e-05,-0.0883329512957971,1.0,5.507210289912301e-05
541,1.0000409821431764,-0.08804996396702336,4.597954362696999e-05,-0.08804996396702336,1.0,4.098214317638238e-05
22,1.000023383726542,-0.08785307170688839,4.597954362696999e-05,-0.08785307170688839,1.0,2.3383726541981176e-05
804,0.9999959647578778,-0.08771863712257755,4.597954362696999e-05,-0.08771863712257755,1.0,-4.035242122224503e-06
294,0.9999984068822232,-0.08743832209432867,4.597954362696999e-05,-0.08743832209432867,1.0,-1.59311777681026e-06
560,1.000014370020584,-0.08715834922185195,4.597954362696999e-05,-0.08715834922185195,1.0,1.4370020583909238e-05
42,0.9999948060817242,-0.08694285724357087,4.597954362696999e-05,-0.08694285724357087,1.0,-5.193918275803178e-06
823,0.9999983131988645,-0.0868163340768433,4.597954362696999e-05,-0.0868163340768433,1.0,-1.6868011355475332e-06
313,0.9999692643555753,-0.08654432883298568,4.597954362696999e-05,-0.08654432883298568,1.0,-3.073564442468424e-05
578,1.0000162981538692,-0.08626641261190571,4.597954362696999e-05,-0.08626641261190571,1.0,1.6298153869165333e-05
61,0.9999976834898203,-0.08603432248554554,4.597954362696999e-05,-0.08603432248554554,1.0,-2.316510179678488e-06
842,0.9999780614114288,-0.08591279114267536,4.597954362696999e-05,-0.08591279114267536,1.0,-2.193858857124642e-05
332,1.0000133599034977,-0.08565101685655918,4.597954362696999e-05,-0.08565101685655918,1.0,1.3359903497711656e-05
597,1.0000134911301517,-0.08537396580334189,4.597954362696999e-05,-0.08537396580334189,1.0,1.3491130151699338e-05
80,0.9999803192688342,-0.08512734030045976,4.597954362696999e-05,-0.08512734030045976,1.0,-1.9680731165760967e-05
351,0.9999633784253091,-0.08475819310183397,4.597954362696999e-05,-0.08475819310183397,1.0,-3.662157469086491e-05
613,0.9999907203107791,-0.08448117737862049,4.597954362696999e-05,-0.08448117737862049,1.0,-9.279689220931253e-06
98,1.0000337309447767,-0.08422178244319412,4.597954362696999e-05,-0.08422178244319412,1.0,3.373094477665539e-05
369,1.0000138729831596,-0.08386596355887832,4.597954362696999e-05,-0.08386596355887832,1.0,1.3872983159579633e-05
628,1.0000270820635067,-0.08358773966074295,4.597954362696999e-05,-0.08358773966074295,1.0,2.7082063506655984e-05
117,0.9999576532346949,-0.08331769898774155,4.597954362696999e-05,-0.08331769898774155,1.0,-4.234676530512349e-05
389,1.0000097316767314,-0.0829739560107896,4.597954362696999e-05,-0.0829739560107896,1.0,9.731676731350447e-06
648,1.000044212479584,-0.08269382290137628,4.597954362696999e-05,-0.08269382290137628,1.0,4.421247958408259e-05
